date,account,category,amount,currency,converted amount,currency,description
1/1/2025,Cash,Rent,-700,EUR,-700,EUR,January rent
1/1/2025,Cash,Salary,2200,EUR,2200,EUR,January salary
1/3/2025,Cash,Food,-42.5,EUR,-42.5,EUR,Continente
1/4/2025,Cash,Eating out,-28.9,EUR,-28.9,EUR,Tasca do Chico
1/5/2025,Cash,Car,-52.3,EUR,-52.3,EUR,Galp
1/6/2025,Cash,Subscriptions,-19,EUR,-19,EUR,Netflix + Spotify
1/7/2025,Cash,Gym,-35,EUR,-35,EUR,Holmes Place
1/8/2025,Cash,Food,-38.2,EUR,-38.2,EUR,Aldi
1/10/2025,Cash,Eating out,-45,EUR,-45,EUR,Taberna da Rua das Flores
1/11/2025,Cash,Communications,-12,EUR,-12,EUR,MEO mobile
1/12/2025,Cash,Investments,-300,EUR,-300,EUR,S&P 500 ETF
1/13/2025,Cash,Health,-65,EUR,-65,EUR,GP consultation
1/14/2025,Cash,Food,-35.8,EUR,-35.8,EUR,Pingo Doce
1/15/2025,Cash,Car,-480,EUR,-480,EUR,Car repair - clutch replacement
1/16/2025,Cash,Eating out,-22.5,EUR,-22.5,EUR,Go Natural
1/17/2025,Cash,Entertainment,-15,EUR,-15,EUR,Cinema
1/18/2025,Cash,Clothes,-89.99,EUR,-89.99,EUR,Zara winter sale
1/19/2025,Cash,Food,-44.1,EUR,-44.1,EUR,Continente
1/20/2025,Cash,Toiletry,-28.5,EUR,-28.5,EUR,Farfetch Beauty
1/21/2025,Cash,Eating out,-55,EUR,-55,EUR,Confraria
1/22/2025,Cash,Car,-2.5,EUR,-2.5,EUR,Telpark
1/23/2025,Cash,Random,-38,EUR,-38,EUR,Amazon - organisers
1/24/2025,Cash,Food,-39.6,EUR,-39.6,EUR,Aldi
1/25/2025,Cash,Eating out,-18.9,EUR,-18.9,EUR,Cafe Central
1/26/2025,Cash,Car,-3.2,EUR,-3.2,EUR,Estacionamento
1/27/2025,Cash,Entertainment,-12,EUR,-12,EUR,Spotify Premium
1/28/2025,Cash,Eating out,-42,EUR,-42,EUR,Bom Jardim
1/29/2025,Cash,Vacations,-350,EUR,-350,EUR,Booking - Faro weekend
1/30/2025,Cash,Learning,-45,EUR,-45,EUR,Udemy course
1/31/2025,Cash,Health,-18.5,EUR,-18.5,EUR,Farmacia
2/1/2025,Cash,Rent,-700,EUR,-700,EUR,February rent
2/1/2025,Cash,Salary,2200,EUR,2200,EUR,February salary
2/3/2025,Cash,Food,-38.9,EUR,-38.9,EUR,Continente
2/4/2025,Cash,Eating out,-32,EUR,-32,EUR,Taberna
2/5/2025,Cash,Car,-48.7,EUR,-48.7,EUR,Galp
2/6/2025,Cash,Subscriptions,-19,EUR,-19,EUR,Netflix + Spotify
2/7/2025,Cash,Gym,-35,EUR,-35,EUR,Holmes Place
2/8/2025,Cash,Food,-41.2,EUR,-41.2,EUR,Aldi
2/10/2025,Cash,Eating out,-38,EUR,-38,EUR,Cozinha da Felicidade
